VCD info: dumpfile sim/out/p1_top_tb.vcd opened for output.
t=2365000 instr=0 addr=0x0000104c wstrb=0xf wdata=0x00000004 rdata=0x00000000 trap=0
t=2395000 instr=1 addr=0x000000c4 wstrb=0x0 wdata=0x00000004 rdata=0x04552823 trap=0
t=2415000 instr=0 addr=0x00000550 wstrb=0x0 wdata=0x00000004 rdata=0x00000002 trap=0
t=2445000 instr=1 addr=0x000000c8 wstrb=0x0 wdata=0x00000004 rdata=0x0545a283 trap=0
t=2465000 instr=0 addr=0x00001050 wstrb=0xf wdata=0x00000002 rdata=0x00000000 trap=0
t=2495000 instr=1 addr=0x000000cc wstrb=0x0 wdata=0x00000002 rdata=0x04552a23 trap=0
t=2515000 instr=0 addr=0x00000554 wstrb=0x0 wdata=0x00000002 rdata=0x0000000b trap=0
t=2545000 instr=1 addr=0x000000d0 wstrb=0x0 wdata=0x00000002 rdata=0x0585a283 trap=0
t=2565000 instr=0 addr=0x00001054 wstrb=0xf wdata=0x0000000b rdata=0x00000000 trap=0
t=2595000 instr=1 addr=0x000000d4 wstrb=0x0 wdata=0x0000000b rdata=0x04552c23 trap=0
t=2615000 instr=0 addr=0x00000558 wstrb=0x0 wdata=0x0000000b rdata=0x0000000f trap=0
t=2645000 instr=1 addr=0x000000d8 wstrb=0x0 wdata=0x0000000b rdata=0x05c5a283 trap=0
t=2665000 instr=0 addr=0x00001058 wstrb=0xf wdata=0x0000000f rdata=0x00000000 trap=0
t=2695000 instr=1 addr=0x000000dc wstrb=0x0 wdata=0x0000000f rdata=0x04552e23 trap=0
t=2715000 instr=0 addr=0x0000055c wstrb=0x0 wdata=0x0000000f rdata=0x00000009 trap=0
t=2745000 instr=1 addr=0x000000e0 wstrb=0x0 wdata=0x0000000f rdata=0x0605a283 trap=0
t=2765000 instr=0 addr=0x0000105c wstrb=0xf wdata=0x00000009 rdata=0x00000000 trap=0
t=2795000 instr=1 addr=0x000000e4 wstrb=0x0 wdata=0x00000009 rdata=0x06552023 trap=0
t=2815000 instr=0 addr=0x00000560 wstrb=0x0 wdata=0x00000009 rdata=0x0000000f trap=0
t=2845000 instr=1 addr=0x000000e8 wstrb=0x0 wdata=0x00000009 rdata=0x0645a283 trap=0
t=2865000 instr=0 addr=0x00001060 wstrb=0xf wdata=0x0000000f rdata=0x00000000 trap=0
t=2895000 instr=1 addr=0x000000ec wstrb=0x0 wdata=0x0000000f rdata=0x06552223 trap=0
t=2915000 instr=0 addr=0x00000564 wstrb=0x0 wdata=0x0000000f rdata=0x0000000d trap=0
t=2945000 instr=1 addr=0x000000f0 wstrb=0x0 wdata=0x0000000f rdata=0x0685a283 trap=0
t=2965000 instr=0 addr=0x00001064 wstrb=0xf wdata=0x0000000d rdata=0x00000000 trap=0
t=2995000 instr=1 addr=0x000000f4 wstrb=0x0 wdata=0x0000000d rdata=0x06552423 trap=0
t=3015000 instr=0 addr=0x00000568 wstrb=0x0 wdata=0x0000000d rdata=0x00000005 trap=0
t=3045000 instr=1 addr=0x000000f8 wstrb=0x0 wdata=0x0000000d rdata=0x06c5a283 trap=0
t=3065000 instr=0 addr=0x00001068 wstrb=0xf wdata=0x00000005 rdata=0x00000000 trap=0
t=3095000 instr=1 addr=0x000000fc wstrb=0x0 wdata=0x00000005 rdata=0x06552623 trap=0
t=3115000 instr=0 addr=0x0000056c wstrb=0x0 wdata=0x00000005 rdata=0x00000003 trap=0
t=3145000 instr=1 addr=0x00000100 wstrb=0x0 wdata=0x00000005 rdata=0x0705a283 trap=0
t=3165000 instr=0 addr=0x0000106c wstrb=0xf wdata=0x00000003 rdata=0x00000000 trap=0
t=3195000 instr=1 addr=0x00000104 wstrb=0x0 wdata=0x00000003 rdata=0x06552823 trap=0
t=3215000 instr=0 addr=0x00000570 wstrb=0x0 wdata=0x00000003 rdata=0x00000003 trap=0
t=3245000 instr=1 addr=0x00000108 wstrb=0x0 wdata=0x00000003 rdata=0x0745a283 trap=0
t=3265000 instr=0 addr=0x00001070 wstrb=0xf wdata=0x00000003 rdata=0x00000000 trap=0
t=3295000 instr=1 addr=0x0000010c wstrb=0x0 wdata=0x00000003 rdata=0x06552a23 trap=0
t=3315000 instr=0 addr=0x00000574 wstrb=0x0 wdata=0x00000003 rdata=0x00000009 trap=0
t=3345000 instr=1 addr=0x00000110 wstrb=0x0 wdata=0x00000003 rdata=0x0785a283 trap=0
t=3365000 instr=0 addr=0x00001074 wstrb=0xf wdata=0x00000009 rdata=0x00000000 trap=0
t=3395000 instr=1 addr=0x00000114 wstrb=0x0 wdata=0x00000009 rdata=0x06552c23 trap=0
t=3415000 instr=0 addr=0x00000578 wstrb=0x0 wdata=0x00000009 rdata=0x0000000f trap=0
t=3445000 instr=1 addr=0x00000118 wstrb=0x0 wdata=0x00000009 rdata=0x07c5a283 trap=0
t=3465000 instr=0 addr=0x00001078 wstrb=0xf wdata=0x0000000f rdata=0x00000000 trap=0
t=3495000 instr=1 addr=0x0000011c wstrb=0x0 wdata=0x0000000f rdata=0x06552e23 trap=0
t=3515000 instr=0 addr=0x0000057c wstrb=0x0 wdata=0x0000000f rdata=0x00000006 trap=0
t=3545000 instr=1 addr=0x00000120 wstrb=0x0 wdata=0x0000000f rdata=0x0805a283 trap=0
